Team,Dorsal,Player,Min,PTS,2FG_M,2FG_A,3FG_M,3FG_A,FT_M,FT_A,OREB,DREB,REB,AST,STL,TO,BLK_F,BLK_A,FOULS_C,FOULS_R,PIR,+/-,2FG_%,3FG_%,FT_%
OLY,0.0,"WALKUP, THOMAS",26:06,2,1,1,0,1,0,0,0,5,5,5,0,2,0,0,3,5,11,13.0,100.0,0.0,0.0
OLY,3.0,"WARD, TYSON",15:07,10,3,6,1,2,1,2,2,1,3,2,0,2,0,1,4,3,6,10.0,50.0,50.0,50.0
OLY,14.0,"VEZENKOV, SASHA",22:10,16,5,9,2,4,0,0,0,5,5,1,0,0,0,0,0,0,16,8.0,55.6,50.0,0.0
OLY,16.0,"PAPANIKOLAOU, KOSTAS",17:33,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,2,0,-1,13.0,0.0,0.0,0.0
OLY,22.0,"DORSEY, TYLER",18:26,15,2,5,2,6,5,6,1,2,3,1,0,2,0,1,0,3,11,5.0,40.0,33.3,83.3
OLY,25.0,"PETERS, ALEC",18:13,17,4,4,3,3,0,0,0,2,2,1,0,0,0,0,4,1,17,10.0,100.0,100.0,0.0
OLY,33.0,"MILUTINOV, NIKOLA",26:42,6,2,4,0,0,2,2,3,10,13,0,0,0,0,0,1,2,18,11.0,50.0,0.0,100.0
OLY,34.0,"JOSEPH, CORY",13:54,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,-1,5.0,0.0,0.0,0.0
OLY,45.0,"HALL, DONTA",03:31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,-3,6.0,0.0,0.0,0.0
OLY,77.0,"MCKISSIC, SHAQUIELLE",04:27,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,-7.0,0.0,0.0,50.0
OLY,88.0,"JONES, TYRIQUE",09:47,2,0,0,0,0,2,4,0,2,2,0,1,1,0,0,0,2,4,1.0,0.0,0.0,50.0
OLY,94.0,"FOURNIER, EVAN",24:04,10,0,3,3,8,1,2,0,4,4,4,0,0,0,1,1,3,10,15.0,0.0,37.5,50.0
ULK,2.0,"BALDWIN IV, WADE",30:33,10,4,7,0,3,2,4,1,4,5,6,1,1,0,0,3,4,14,-13.0,57.1,0.0,50.0
ULK,4.0,"MELLI, NICOLO",32:23,7,2,3,1,5,0,0,0,4,4,2,1,2,0,0,2,0,5,-15.0,66.7,20.0,0.0
ULK,8.0,"HORTON TUCKER, TALEN",30:32,16,3,4,1,7,7,8,1,6,7,3,0,1,1,0,2,7,23,-10.0,75.0,14.3,87.5
ULK,11.0,"BOSTON JR., BRANDON",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ULK,12.0,"DE COLO, NANDO",18:30,6,0,1,2,3,0,0,0,1,1,1,0,0,0,0,4,3,5,3.0,0.0,66.7,0.0
ULK,13.0,"BIBEROVIC, TARIK",29:48,17,2,3,4,9,1,1,3,3,6,1,2,1,0,0,2,1,18,2.0,66.7,44.4,100.0
ULK,17.0,"BITIM, ONURALP",00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ULK,18.0,"JANTUNEN, MIKAEL",12:56,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0,2,0,-6,-10.0,0.0,0.0,0.0
ULK,20.0,"HALL, DEVON",23:24,0,0,2,0,3,0,0,1,1,2,0,0,2,0,0,2,2,-5,-21.0,0.0,0.0,0.0
ULK,30.0,"SILVA, CHRIS",08:03,2,1,3,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,-1.0,33.3,0.0,0.0
ULK,50.0,"COLSON, BONZIE",05:33,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,-1,-10.0,0.0,0.0,0.0
ULK,92.0,"BIRCH, KHEM",08:13,3,1,2,0,0,1,2,1,3,4,0,1,1,1,0,2,1,5,-13.0,50.0,0.0,50.0
